GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
snap_masked-Contig005504-processed-gene-0.53-mRNA-1,0.227390512824059,-0.691582262516022,0.0985892407327705,0.219983675253515,0.0606258538241188,0.44021524861455,-1.21734247033076,-0.356334972429552
snap_masked-Contig005504-processed-gene-0.54-mRNA-1,1.65515446662903,0.216853410005569,0.158456611063807,0.0416179660461486,1.37378869454066,1.95985036790371,0.137919831556119,0.292221185259196
snap_masked-Contig005504-processed-gene-0.43-mRNA-1,0.22831355035305,-0.684117436408997,0.0951938703863697,0.203996667875046,0.0736561521887779,0.431411532560984,-1.13279188650137,-0.365113479744667
maker-Contig005504-augustus-gene-0.1-mRNA-1,0.788129925727844,-0.10737831145525,0.105590670370536,0.05929119939556,0.586492753525575,0.992197877665361,-0.231738969342578,-0.00340190863219413
snap_masked-Contig005504-processed-gene-0.44-mRNA-1,0.309939175844193,-0.543168783187866,0.115164958121239,0.183781162947563,0.0975443768625458,0.544778508941333,-1.0107978444041,-0.263788291526579
snap_masked-Contig005504-processed-gene-0.59-mRNA-1,0.559646785259247,-0.318867057561874,0.292113199323752,0.258479209956677,0.12504087947309,1.21687090396881,-0.902951027387256,0.0852445070157355
snap_masked-Contig005504-processed-gene-0.45-mRNA-1,0.291470944881439,-0.576095700263977,0.117723898329737,0.20077599767205,0.0871599526455005,0.552888077994188,-1.05972138846262,-0.257363141594265
snap_masked-Contig005504-processed-gene-0.60-mRNA-1,0.396190226078033,-0.435753881931305,0.14677482420078,0.180167893234478,0.141597421839833,0.70976382692655,-0.848945156438569,-0.148926955869696
snap_masked-Contig005504-processed-gene-0.61-mRNA-1,0.705563127994537,-0.161690503358841,0.149026511474343,0.0961747372896237,0.416533769915501,0.999737501144409,-0.380349794956517,-0.00011401676977959
snap_masked-Contig005504-processed-gene-0.62-mRNA-1,0.989586710929871,-0.0165824051946402,0.224876187286402,0.105002467489768,0.565319630006949,1.4218251824379,-0.247706072265405,0.152844498508419
snap_masked-Contig005504-processed-gene-0.63-mRNA-1,0.586259365081787,-0.248349547386169,0.156445220347174,0.122680523620829,0.299225834260384,0.917152031759421,-0.524002297611478,-0.03755870203625
augustus_masked-Contig005504-processed-gene-0.83-mRNA-1,0.439580738544464,-0.407061278820038,0.202513020458887,0.219938786061422,0.121825308290621,0.969253778457642,-0.914262528277432,-0.0135624973002671
augustus_masked-Contig005504-processed-gene-0.97-mRNA-1,0.986344695091248,-0.0157124288380146,0.202622498162654,0.094151110678504,0.579405447840691,1.42687584956487,-0.237017526775319,0.154386051637234
snap_masked-Contig005504-processed-gene-0.65-mRNA-1,0.257207781076431,-0.631458818912506,0.103961573299758,0.20280181409901,0.0790796967223287,0.477542489767075,-1.10197706614587,-0.32098798062387
snap_masked-Contig005504-processed-gene-0.66-mRNA-1,0.430604040622711,-0.420404523611069,0.194623360791712,0.238658894999124,0.0952580921972791,0.864239727457365,-1.02159028361877,-0.0633662627144463
snap_masked-Contig005504-processed-gene-0.47-mRNA-1,1.56477499008179,0.19107112288475,0.194292149810332,0.0545045184126554,1.20397194723288,1.96094186604023,0.0806163386869132,0.292462919427269
snap_masked-Contig005504-processed-gene-0.48-mRNA-1,0.54958039522171,-0.275907337665558,0.143188723720848,0.121335706940618,0.281142033884923,0.874428749084473,-0.551079542534584,-0.0582755722803384
