GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
snap_masked-NC_027860.1-processed-gene-0.62-mRNA-1,0.940454483032227,-0.0329770892858505,0.155893580906597,0.075735369784191,0.647306501865387,1.2509665320317,-0.188890030692439,0.097240799423731
augustus_masked-NC_027860.1-processed-gene-0.0-mRNA-1,0.46298024058342,-0.342662841081619,0.0886564113140151,0.0857266907384635,0.306297096610069,0.639364123344421,-0.513857858116522,-0.194251736958119
snap_masked-NC_027860.1-processed-gene-0.63-mRNA-1,0.664430201053619,-0.181820169091225,0.0921865875392951,0.0615104309593306,0.487287803987662,0.850658053656419,-0.312214713937651,-0.0702450740289185
augustus_masked-NC_027860.1-processed-gene-0.1-mRNA-1,0.631764769554138,-0.204661950469017,0.0967065455959228,0.0680820083250423,0.448353588581085,0.8385779256622,-0.348379349837845,-0.0764566007440832
snap_masked-NC_027860.1-processed-gene-0.64-mRNA-1,0.628994584083557,-0.208995953202248,0.114877183582372,0.0830201840998529,0.401330463588238,0.846986208359401,-0.396500589088794,-0.0721252065589459
genemark-NC_027860.1-processed-gene-0.121-mRNA-1,0.435022503137589,-0.367572218179703,0.0707823433381073,0.0741169444595169,0.279455355058114,0.577140211562316,-0.553690230910633,-0.238718842982566
augustus_masked-NC_027860.1-processed-gene-0.2-mRNA-1,1.10394287109375,0.0411319956183434,0.101204838408866,0.0397479974211147,0.919798314571381,1.34480952620506,-0.0363073905578278,0.128660752045218
maker-NC_027860.1-augustus-gene-0.150-mRNA-1,0.979978799819946,-0.00947219505906105,0.0553172121829057,0.0244769740158357,0.880999039610227,1.09116876224677,-0.0550247099547404,0.0378919223716739
augustus_masked-NC_027860.1-processed-gene-0.3-mRNA-1,1.37934172153473,0.138641908764839,0.0947879661066542,0.0300058286733507,1.19078280925751,1.56875405112902,0.0758325549418243,0.195554847912828
snap_masked-NC_027860.1-processed-gene-0.69-mRNA-1,1.14529240131378,0.0568926297128201,0.110567969409032,0.0420322005791931,0.941637163360914,1.35669380426407,-0.0261164425695223,0.132481715026843
augustus_masked-NC_027860.1-processed-gene-0.24-mRNA-1,0.952501952648163,-0.0238656550645828,0.106312559622569,0.0489790681461829,0.758011655509472,1.18272553582986,-0.120324423148295,0.0728839734690833
snap_masked-NC_027860.1-processed-gene-0.71-mRNA-1,1.09108781814575,0.0355292484164238,0.112366236530644,0.0452462566127117,0.886495467523734,1.32408260802428,-0.052323642536523,0.121914849165416
augustus_masked-NC_027860.1-processed-gene-0.4-mRNA-1,1.34873819351196,0.128426223993301,0.111860499787594,0.0362447730973983,1.12688740392526,1.57450292209784,0.0518781516275885,0.197143427877004
snap_masked-NC_027860.1-processed-gene-0.72-mRNA-1,0.851439774036407,-0.0733950808644295,0.107477104554442,0.0560758276694952,0.637373746434848,1.05495786964893,-0.195607201443174,0.0232349333470461
genemark-NC_027860.1-processed-gene-0.128-mRNA-1,1.16698658466339,0.0661615580320358,0.0751837034057683,0.0281034637571717,1.02963781356812,1.3242330511411,0.0126844837044264,0.121964413129502
augustus_masked-NC_027860.1-processed-gene-0.29-mRNA-1,1.66249072551727,0.218396902084351,0.172831738946258,0.0454901124643775,1.3267351269722,1.99262677232424,0.122783619137439,0.299425144617967
augustus_masked-NC_027860.1-processed-gene-0.5-mRNA-1,1.08595144748688,0.0327609181404114,0.12835136107621,0.0516918116935362,0.863189048568408,1.35985338290532,-0.0638947453140754,0.133492002675343
snap_masked-NC_027860.1-processed-gene-0.75-mRNA-1,1.32426166534424,0.12037917226553,0.113438780366224,0.037309474163633,1.10441546539466,1.53987439870834,0.0431299573090229,0.187485125705867
augustus_masked-NC_027860.1-processed-gene-0.6-mRNA-1,1.19160449504852,0.0750553905963898,0.0836039454490646,0.0307039985232179,1.02208507061005,1.3466844946146,0.00948703215651025,0.12926552766488
augustus_masked-NC_027860.1-processed-gene-0.7-mRNA-1,1.65999555587769,0.218767687678337,0.129464292614331,0.0342994227581831,1.41810411115487,1.90535635352135,0.151708104501654,0.279976024767356
augustus_masked-NC_027860.1-processed-gene-0.8-mRNA-1,1.81308424472809,0.257946580648422,0.0847853155382862,0.0202375496395414,1.66076665918032,1.99521911144257,0.220308609608283,0.299990596095522
maker-NC_027860.1-augustus-gene-0.144-mRNA-1,0.857239902019501,-0.0687737613916397,0.0800045215969877,0.0403851288887383,0.722081880271435,1.02516174713771,-0.141413658984281,0.0107921136711169
augustus_masked-NC_027860.1-processed-gene-0.31-mRNA-1,0.680818259716034,-0.170912399888039,0.0907871175419298,0.0590820371612041,0.499351789305607,0.864673802256584,-0.30159345921173,-0.0631478963086886
augustus_masked-NC_027860.1-processed-gene-0.32-mRNA-1,0.884649991989136,-0.0554076507687569,0.088003525805215,0.0437815568886477,0.712281969686349,1.06020802458127,-0.14734831426004,0.02539108553348
augustus_masked-NC_027860.1-processed-gene-0.33-mRNA-1,0.906608521938324,-0.0444059409201145,0.0827458764808884,0.0400192019587272,0.746673525373141,1.08541503548622,-0.126871347623871,0.035595169642479
augustus_masked-NC_027860.1-processed-gene-0.11-mRNA-1,1.45506298542023,0.161147594451904,0.13015177134013,0.038888862750499,1.21475188632806,1.71559052964052,0.0844875356770284,0.234413620721753
snap_masked-NC_027860.1-processed-gene-0.80-mRNA-1,1.33120596408844,0.123790234327316,0.0612035031846268,0.0198746291322696,1.22832800745964,1.45894811749458,0.0893143387768046,0.164039489685806
