GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
augustus_masked-scaffold_1-processed-gene-0.54-mRNA-1,0.342673122882843,-0.473168104887009,0.064494780604439,0.085201867269883,0.221318325897058,0.479712357620398,-0.654996099412866,-0.319019962757668
genemark-scaffold_1-processed-gene-0.3-mRNA-1,0.36916121840477,-0.447735995054245,0.0935566219058173,0.117337401201819,0.191763739536206,0.565222378571828,-0.717233820959316,-0.24778990350483
genemark-scaffold_1-processed-gene-0.4-mRNA-1,0.432327389717102,-0.375907123088837,0.0977708525550271,0.102963016188285,0.254490107297897,0.632412612438202,-0.594329095171774,-0.199003241271625
snap_masked-scaffold_1-processed-gene-0.108-mRNA-1,0.355176538228989,-0.464772015810013,0.0928893770257584,0.116605249982382,0.193011895443002,0.550941294431686,-0.7144214302216,-0.258895003892314
snap_masked-scaffold_1-processed-gene-0.132-mRNA-1,0.435156643390656,-0.365294128656387,0.0573335856821957,0.0593603236010166,0.30969694207112,0.536785408854485,-0.509063149407438,-0.270199499562821
snap_masked-scaffold_1-processed-gene-0.109-mRNA-1,0.859368741512299,-0.0813520699739456,0.225646378317998,0.118206213692035,0.467536509533723,1.33265601197879,-0.330186024621099,0.124715996242563
genemark-scaffold_1-processed-gene-0.5-mRNA-1,0.455392897129059,-0.346536189317703,0.0676668889257337,0.0661427163280765,0.329392926146587,0.602794384459654,-0.482288124008515,-0.219830802159808
genemark-scaffold_1-processed-gene-0.6-mRNA-1,0.819599747657776,-0.0937384143471718,0.145744131827287,0.0818193742109479,0.529504248003165,1.106889813145,-0.276132670728525,0.0441034313015915
snap_masked-scaffold_1-processed-gene-0.133-mRNA-1,0.664914786815643,-0.186884060502052,0.135503167407909,0.0937292950336713,0.403617609043916,0.92550370345513,-0.394032397030536,-0.0336219338495596
genemark-scaffold_1-processed-gene-0.7-mRNA-1,0.884130299091339,-0.0554102100431919,0.0828642557466571,0.0411230536646352,0.714133647580942,1.05368289550145,-0.146220627597132,0.0227098783919778
maker-scaffold_1-augustus-gene-0.101-mRNA-1,0.616882741451263,-0.212060987949371,0.0626456418950793,0.0445865837355805,0.495962573836247,0.73956101834774,-0.304552754050856,-0.131025990343483
genemark-scaffold_1-processed-gene-0.8-mRNA-1,1.06967842578888,0.025771664455533,0.133325434769934,0.0556032053068393,0.806446552276611,1.32912367383639,-0.0934244104455308,0.123565386409937
augustus_masked-scaffold_1-processed-gene-0.79-mRNA-1,0.750226676464081,-0.130860462784767,0.12228378703349,0.0738688900084153,0.512539744377136,0.998540286719799,-0.290272452039183,-0.000637607890616874
maker-scaffold_1-augustus-gene-0.99-mRNA-1,0.597297549247742,-0.226765677332878,0.0688170473220794,0.0511578478770435,0.456649528692166,0.725092394153277,-0.3404179433891,-0.139606655019232
genemark-scaffold_1-processed-gene-0.33-mRNA-1,0.789710640907288,-0.106414079666138,0.104108963322187,0.0586951729046611,0.585233661035697,0.989911488691966,-0.232670769670731,-0.00440392147181189
genemark-scaffold_1-processed-gene-0.11-mRNA-1,0.852034091949463,-0.0735093802213669,0.1138282305194,0.0592723826291517,0.645372221370538,1.07321975330512,-0.190190304473011,0.0306881600672592
genemark-scaffold_1-processed-gene-0.34-mRNA-1,0.903944492340088,-0.0460340268909931,0.0896515344986537,0.0438097093455415,0.726421484351158,1.08597067197164,-0.138811327408922,0.0358173384177472
genemark-scaffold_1-processed-gene-0.12-mRNA-1,0.895767211914062,-0.0506462939083576,0.102346257186348,0.0498543659851303,0.709092989067237,1.10028999845187,-0.149296833165081,0.0415070958431131
genemark-scaffold_1-processed-gene-0.35-mRNA-1,0.634257853031158,-0.212342739105225,0.158532882153399,0.11581510561067,0.340019607295593,0.968553304672241,-0.468506291656734,-0.0138764727373637
genemark-scaffold_1-processed-gene-0.13-mRNA-1,0.762136936187744,-0.130333006381989,0.172112950423371,0.107942373549798,0.404501031339169,1.09831675092379,-0.393084164462389,0.0407273972179476
